Title,Link,IMDB or M,Site Score,User Score
Planet Earth II,/title/tt5491994/,IMDB,9.4,None.
Breaking Bad,/title/tt0903747/,IMDB,9.4,None.
Planet Earth,/title/tt0795176/,IMDB,9.4,None.
Band of Brothers,/title/tt0185906/,IMDB,9.4,None.
Chernobyl,/title/tt7366338/,IMDB,9.3,None.
The Wire,/title/tt0306414/,IMDB,9.3,None.
Avatar: The Last Airbender,/title/tt0417299/,IMDB,9.2,None.
Blue Planet II,/title/tt6769208/,IMDB,9.2,None.
Cosmos: A Spacetime Odyssey,/title/tt2395695/,IMDB,9.2,None.
The Sopranos,/title/tt0141842/,IMDB,9.2,None.
Our Planet,/title/tt9253866/,IMDB,9.2,None.
Cosmos,/title/tt0081846/,IMDB,9.2,None.
Game of Thrones,/title/tt0944947/,IMDB,9.2,None.
Rick and Morty,/title/tt2861424/,IMDB,9.1,None.
The World at War,/title/tt0071075/,IMDB,9.1,None.
The Last Dance,/title/tt8420184/,IMDB,9.1,None.
Fullmetal Alchemist: Brotherhood,/title/tt1355642/,IMDB,9.0,None.
Sherlock,/title/tt1475582/,IMDB,9.0,None.
Life,/title/tt1533395/,IMDB,9.0,None.
The Twilight Zone,/title/tt0052520/,IMDB,9.0,None.
The Vietnam War,/title/tt1877514/,IMDB,9.0,None.
Scam 1992: The Harshad Mehta Story,/title/tt12392504/,IMDB,9.0,None.
Arcane,/title/tt11126994/,IMDB,9.0,None.
Batman: The Animated Series,/title/tt0103359/,IMDB,9.0,None.
Attack on Titan,/title/tt2560140/,IMDB,8.9,None.
Firefly,/title/tt0303461/,IMDB,8.9,None.
Human Planet,/title/tt1806234/,IMDB,8.9,None.
The Office,/title/tt0386676/,IMDB,8.9,None.
The Blue Planet,/title/tt0296310/,IMDB,8.9,None.
The Beatles: Get Back,/title/tt9735318/,IMDB,8.9,None.
Death Note,/title/tt0877057/,IMDB,8.9,None.
True Detective,/title/tt2356777/,IMDB,8.9,None.
Seinfeld,/title/tt0098904/,IMDB,8.9,None.
Frozen Planet,/title/tt2092588/,IMDB,8.9,None.
Only Fools and Horses,/title/tt0081912/,IMDB,8.9,None.
Fargo,/title/tt2802850/,IMDB,8.9,None.
Clarkson's Farm,/title/tt10541088/,IMDB,8.9,None.
Persona,/title/tt7920978/,IMDB,8.9,None.
The Civil War,/title/tt0098769/,IMDB,8.9,None.
Hunter x Hunter,/title/tt2098220/,IMDB,8.9,None.
Dekalog,/title/tt0092337/,IMDB,8.9,None.
Cowboy Bebop,/title/tt0213338/,IMDB,8.9,None.
Friends,/title/tt0108778/,IMDB,8.8,None.
When They See Us,/title/tt7137906/,IMDB,8.8,None.
Gravity Falls,/title/tt1865718/,IMDB,8.8,None.
Last Week Tonight with John Oliver,/title/tt3530232/,IMDB,8.8,None.
Nathan for You,/title/tt2297757/,IMDB,8.8,None.
TVF Pitchers,/title/tt4742876/,IMDB,8.8,None.
Monty Python's Flying Circus,/title/tt0063929/,IMDB,8.8,None.
Africa,/title/tt2571774/,IMDB,8.8,None.
It's Always Sunny in Philadelphia,/title/tt0472954/,IMDB,8.8,None.
Apocalypse: The Second World War,/title/tt1508238/,IMDB,8.8,None.
Das Boot,/title/tt0081834/,IMDB,8.8,None.
Curb Your Enthusiasm,/title/tt0264235/,IMDB,8.8,None.
Freaks and Geeks,/title/tt0193676/,IMDB,8.8,None.
Pride and Prejudice,/title/tt0112130/,IMDB,8.8,None.
Fawlty Towers,/title/tt0072500/,IMDB,8.8,None.
Better Call Saul,/title/tt3032476/,IMDB,8.8,None.
Black Mirror,/title/tt2085059/,IMDB,8.8,None.
Narcos,/title/tt2707408/,IMDB,8.8,None.
Twin Peaks,/title/tt0098936/,IMDB,8.8,None.
The West Wing,/title/tt0200276/,IMDB,8.7,None.
Blackadder Goes Forth,/title/tt0096548/,IMDB,8.7,None.
Peaky Blinders,/title/tt2442560/,IMDB,8.7,None.
Succession,/title/tt7660850/,IMDB,8.7,None.
BoJack Horseman,/title/tt3398228/,IMDB,8.7,None.
Dragon Ball Z,/title/tt0214341/,IMDB,8.7,None.
Dragon Ball Z,/title/tt0121220/,IMDB,8.7,None.
Chappelle's Show,/title/tt0353049/,IMDB,8.7,None.
Leyla and Mecnun,/title/tt1831164/,IMDB,8.7,None.
1883,/title/tt13991232/,IMDB,8.7,None.
South Park,/title/tt0121955/,IMDB,8.7,None.
Rome,/title/tt0384766/,IMDB,8.7,None.
Ted Lasso,/title/tt10986410/,IMDB,8.7,None.
The Mandalorian,/title/tt8111088/,IMDB,8.7,None.
"I, Claudius",/title/tt0074006/,IMDB,8.7,None.
One Punch Man,/title/tt4508902/,IMDB,8.7,None.
Kota Factory,/title/tt9432978/,IMDB,8.7,None.
Over the Garden Wall,/title/tt3718778/,IMDB,8.7,None.
Arrested Development,/title/tt0367279/,IMDB,8.7,None.
Dark,/title/tt5753856/,IMDB,8.7,None.
Oz,/title/tt0118421/,IMDB,8.7,None.
Six Feet Under,/title/tt0248654/,IMDB,8.7,None.
The Simpsons,/title/tt0096697/,IMDB,8.7,None.
Steins;Gate,/title/tt1910272/,IMDB,8.7,None.
House M.D.,/title/tt0412142/,IMDB,8.7,None.
Stranger Things,/title/tt4574334/,IMDB,8.7,None.
The Shield,/title/tt0286486/,IMDB,8.7,None.
Invincible,/title/tt6741278/,IMDB,8.7,None.
Battlestar Galactica,/title/tt0407362/,IMDB,8.7,None.
Downton Abbey,/title/tt1606375/,IMDB,8.7,None.
Vinland Saga,/title/tt10233448/,IMDB,8.7,None.
Fleabag,/title/tt5687612/,IMDB,8.6,None.
House of Cards,/title/tt1856010/,IMDB,8.6,None.
Mad Men,/title/tt0804503/,IMDB,8.6,None.
The Boys,/title/tt1190634/,IMDB,8.6,None.
One Piece,/title/tt0388629/,IMDB,8.6,None.
The Marvelous Mrs. Maisel,/title/tt5788792/,IMDB,8.6,None.
The Crown,/title/tt4786824/,IMDB,8.6,None.
Friday Night Lights,/title/tt0758745/,IMDB,8.6,None.
